toss_win,5_total_runs,10_total_runs,15_total_runs,20_total_runs,20_player_dismissed,inn1_avg,roll_win
1,26.0,60.0,95.0,150.0,3.0,135.0,1.0
1,42.0,83.0,123.0,188.0,3.0,154.83333333333334,1.0
1,28.0,63.0,89.0,134.0,7.0,144.0,1.0
0,38.0,61.0,79.0,101.0,9.0,152.0,1.0
1,44.0,70.0,96.0,116.0,9.0,152.0,0.0
0,28.0,72.0,109.0,165.0,8.0,154.83333333333334,1.0
1,31.0,64.0,116.0,170.0,4.0,154.83333333333334,1.0
0,41.0,83.0,109.0,153.0,8.0,154.83333333333334,1.0
0,46.0,74.0,107.0,146.0,5.0,144.0,1.0
0,23.0,62.0,101.0,143.0,6.0,144.0,1.0
0,31.0,57.0,92.0,161.0,4.0,146.64705882352942,0.0
1,52.0,101.0,159.0,212.0,7.0,180.36363636363637,0.0
0,39.0,76.0,113.0,142.0,9.0,163.28571428571428,1.0
0,18.0,57.0,89.0,135.0,7.0,161.62337662337663,1.0
1,55.0,80.0,127.0,190.0,4.0,166.85714285714286,2.0
0,45.0,57.0,91.0,141.0,6.0,163.16666666666666,1.0
1,35.0,87.0,133.0,203.0,3.0,170.57534246575344,1.0
1,22.0,59.0,96.0,164.0,3.0,161.62337662337663,1.0
0,56.0,112.0,165.0,218.0,7.0,164.4179104477612,1.0
0,27.0,45.0,78.0,92.0,10.0,170.57534246575344,0.0
1,50.0,89.0,139.0,185.0,6.0,164.4179104477612,0.0
0,53.0,100.0,125.0,170.0,8.0,167.71428571428572,2.0
1,42.0,92.0,124.0,168.0,7.0,163.16666666666666,0.0
1,37.0,74.0,102.0,151.0,9.0,180.36363636363637,2.0
1,44.0,77.0,115.0,171.0,6.0,167.71428571428572,2.0
0,30.0,59.0,98.0,136.0,8.0,166.85714285714286,0.0
1,34.0,67.0,102.0,155.0,3.0,180.36363636363637,1.0
0,29.0,67.0,104.0,171.0,5.0,170.57534246575344,1.0
0,49.0,87.0,133.0,183.0,5.0,163.28571428571428,1.0
0,38.0,85.0,126.0,180.0,2.0,180.36363636363637,1.0
1,42.0,79.0,108.0,148.0,9.0,163.16666666666666,2.0
1,45.0,75.0,126.0,183.0,5.0,163.28571428571428,1.0
0,58.0,95.0,128.0,183.0,4.0,170.57534246575344,0.0
1,49.0,96.0,129.0,177.0,8.0,163.16666666666666,2.0
0,42.0,78.0,100.0,172.0,7.0,146.64705882352942,1.0
1,56.0,91.0,135.0,177.0,4.0,164.4179104477612,1.0
0,41.0,85.0,118.0,163.0,10.0,180.36363636363637,1.0
