5_total_runs,5_player_dismissed,10_total_runs,10_player_dismissed,15_total_runs,15_player_dismissed,inning
48.0,1.0,71.0,2.0,122.0,3.0,1
39.0,1.0,73.0,3.0,101.0,5.0,2
40.0,0.0,88.0,0.0,153.0,1.0,1
36.0,3.0,88.0,3.0,139.0,4.0,2
38.0,0.0,77.0,1.0,121.0,2.0,1
45.0,0.0,69.0,2.0,99.0,6.0,2
40.0,0.0,87.0,0.0,134.0,1.0,1
32.0,1.0,56.0,3.0,87.0,4.0,2
35.0,2.0,73.0,2.0,105.0,4.0,1
30.0,0.0,67.0,0.0,108.0,1.0,2
32.0,2.0,74.0,2.0,98.0,4.0,1
31.0,1.0,68.0,1.0,103.0,2.0,2
26.0,2.0,58.0,2.0,110.0,2.0,1
31.0,1.0,75.0,1.0,116.0,3.0,2
50.0,0.0,80.0,1.0,104.0,5.0,1
